Average Precol GPA,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
2.88833,3.8165,157.3401,154.9181
2.93,3.8165,157.3401,154.9181
2.93,3.8165,157.3401,154.9181
2.94,3.8165,157.3401,154.9181
2.95,3.8165,157.3401,154.9181
2.95,3.8165,157.3401,154.9181
2.955,3.8165,157.3401,154.9181
2.96,3.8165,157.3401,154.9181
2.97,3.8165,157.3401,154.9181
2.975,3.8165,157.3401,154.9181
2.98,3.8165,157.3401,154.9181
2.99,3.8165,157.3401,154.9181
2.99,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3,3.8165,157.3401,154.9181
3.00667,3.8165,157.3401,154.9181
3.01,3.8165,157.3401,154.9181
3.015,3.8165,157.3401,154.9181
3.015,3.8165,157.3401,154.9181
3.035,3.8165,157.3401,154.9181
3.04,3.8165,157.3401,154.9181
3.045,3.8165,157.3401,154.9181
3.0475,3.8165,157.3401,154.9181
3.05,3.8165,157.3401,154.9181
3.06,3.8165,157.3401,154.9181
3.06,3.8165,157.3401,154.9181
3.08,3.8165,157.3401,154.9181
3.095,3.8165,157.3401,154.9181
3.1,3.8165,157.3401,154.9181
3.1,3.8165,157.3401,154.9181
3.1,3.8165,157.3401,154.9181
3.11,3.8165,157.3401,154.9181
3.11,3.8165,157.3401,154.9181
3.11,3.8165,157.3401,154.9181
3.11,3.8165,157.3401,154.9181
3.115,3.8165,157.3401,154.9181
3.12,3.8165,157.3401,154.9181
3.145,3.8165,157.3401,154.9181
3.15,3.8165,157.3401,154.9181
3.16333,3.8165,157.3401,154.9181
3.165,3.8165,157.3401,154.9181
3.165,3.8165,157.3401,154.9181
3.165,3.8165,157.3401,154.9181
3.165,3.8165,157.3401,154.9181
3.17,3.8165,157.3401,154.9181
3.18,3.8165,157.3401,154.9181
3.18,3.8165,157.3401,154.9181
3.19,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.2,3.8165,157.3401,154.9181
3.22,3.8165,157.3401,154.9181
3.22,3.8165,157.3401,154.9181
3.22,3.8165,157.3401,154.9181
3.23333,3.8165,157.3401,154.9181
3.235,3.8165,157.3401,154.9181
3.24,3.8165,157.3401,154.9181
3.24,3.8165,157.3401,154.9181
3.25,3.8165,157.3401,154.9181
3.25,3.8165,157.3401,154.9181
3.25,3.8165,157.3401,154.9181
3.25,3.8165,157.3401,154.9181
3.25,3.8165,157.3401,154.9181
3.26,3.8165,157.3401,154.9181
3.265,3.8165,157.3401,154.9181
3.27,3.8165,157.3401,154.9181
3.27,3.8165,157.3401,154.9181
3.27,3.8165,157.3401,154.9181
3.28,3.8165,157.3401,154.9181
3.28,3.8165,157.3401,154.9181
3.28,3.8165,157.3401,154.9181
3.28,3.8165,157.3401,154.9181
3.28,3.8165,157.3401,154.9181
3.28,3.8165,157.3401,154.9181
3.29,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.3,3.8165,157.3401,154.9181
3.31333,3.8165,157.3401,154.9181
3.315,3.8165,157.3401,154.9181
3.325,3.8165,157.3401,154.9181
3.325,3.8165,157.3401,154.9181
3.335,3.8165,157.3401,154.9181
3.34,3.8165,157.3401,154.9181
3.34,3.8165,157.3401,154.9181
