,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,SAPC1,SAPC2,SAPC3   ,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
809,0,0,0,0,2006,35.7,GD Harpur,49,Doctor of Philosophy,Female,0,809,Black or African American,C38,Philosophy Interpretation and,77806.76,Harpur Doctor of Philosophy,Masters Prepared,77806.76,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.67,3.33,4,3.67,0,0,0,0,-0.03,5,3.73,7.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
810,0,0,0,0,2005,22.7,GD Harpur,37,Doctor of Philosophy,Female,0,810,India,C13,Biological Sciences,12648.3,Harpur Doctor of Philosophy,Bachelors Prepared,12648.3,0,1,3.79E-16,-5.79E-16,-1.21E-15,2.98,2.8,4,3.77,4,3.77,4,0,0,0.18,7,3.62,4.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
811,0,0,0,0,2007,25.7,GD Watson,38,Doctor of Philosophy,Male,1,811,Asia,R98,Mechanical Engineering,21714.05,Mechanical Engineering PhD,0,27234.05,5520,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,4,4,0,0,0,0,0,0,0.17,3,3.88,3.2,GD Non-Harpur,Asia,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
812,0,0,0,0,2010,33.3,GD Grad School,43,Doctor of Philosophy,Male,0,812,White,H21,Materials Science and Engineer,4474.5,Graduate School PhD,0,4474.5,0,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,1,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
813,0,0,0,0,2007,28.7,GD Harpur,41,Doctor of Philosophy,Female,1,813,Hispanic or Latino,C47,Clinical Psychology,89725.29,Harpur Doctor of Philosophy,Bachelors Prepared,107590.79,17865.5,1,3.79E-16,-5.79E-16,-1.21E-15,3.73,3.82,4,4,3.29,3.71,3.85,4,0,0.01,8,3.8,6.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
814,0,0,0,0,2006,21.7,GD Harpur,35,Doctor of Philosophy,Male,1,814,White,C22,Economics,32045.4,Harpur Doctor of Philosophy,Bachelors Prepared,38327.4,6282,1,3.79E-16,-5.79E-16,-1.21E-15,3.33,3.23,3.33,3.5,3,3.7,3.7,0,0,0.06,7,3.4,8.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
815,2342.5,2342.5,0,0,2012,32,GD Nursing,39,Doctor of Nursing Practice,Female,1,815,White,D70,Family Nurse Practitioner,67835.6,Nursing DNP,0,72520.6,4685,1,0.206658925,-0.269354697,-0.714801037,3.72,3.68,3.83,3.83,4,3,3,0,0,-0.12,7,3.58,3.4,GD Non-Harpur,White,-222.9496986,121.2944555,5.299616847,3.85000 ,,3.8165 ,157.3401 ,154.9181 
816,0,0,0,0,2008,28.3,GD Watson,40,Doctor of Philosophy,Male,0,816,India,R91,Biomedical Engineering,50668.25,Bioengineering PhD,0,50668.25,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,0,0,0,0,0,0,0,0,0,1,4,1.3,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
817,0,0,0,0,2005,29.7,GD Harpur,44,Doctor of Philosophy,Female,0,817,Africa,C15,Chemistry,21439.85,Harpur Doctor of Philosophy,Bachelors Prepared,21439.85,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.54,4,3.5,0,0,0,0,0,0,-0.02,3,3.68,5.7,GD Harpur,Africa,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
818,0,0,0,0,2009,29,GD Grad School,39,Doctor of Philosophy,Male,0,818,Unknown,H21,Materials Science and Engineer,22835.5,Graduate School PhD,0,22835.5,0,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,1,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
819,0,4968,4968,574,2007,23.7,GD Watson,36,Doctor of Philosophy,Male,1,819,China,R92,Computer Science,16198.7,Computer Science PhD,0,28546.7,12348,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,3.93,3.85,0,0,0,0,0,0,-0.03,3,3.89,6.2,GD Non-Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
820,0,0,0,0,2004,23.7,GD Harpur,39,Doctor of Philosophy,Female,0,820,White,C23,English,10854.81,Harpur Doctor of Philosophy,Masters Prepared,10854.81,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.9,4,4,4,4,4,4,0,0.01,8,3.99,7.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
